2021-03-25 16:27:37.753 - INFO - 21485 - azureml.train.automl.automlconfig._start_execution:157 - No compute target or run config provided. Running local legacy run.
2021-03-25 16:27:37.754 - INFO - 21485 - azureml.train.automl.automlconfig._start_execution:193 - Submitting local legacy run.
2021-03-25 16:27:37.755 - INFO - 21485 - azureml.automl.core.package_utilities._log_activity:55 - ActivityStarted: PackagesCheck
2021-03-25 16:27:37.755 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataset-runtime, Version: 1.24.0 found.
2021-03-25 16:27:37.755 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-telemetry, Version: 1.24.0 found.
2021-03-25 16:27:37.766 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-train-core, Version: 1.24.0 found.
2021-03-25 16:27:37.767 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-train-automl-client, Version: 1.24.0 found.
2021-03-25 16:27:37.767 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-pipeline-core, Version: 1.24.0 found.
2021-03-25 16:27:37.775 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: configparser, Version: 3.7.4 found.
2021-03-25 16:27:37.776 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.24.0 found.
2021-03-25 16:27:37.776 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: json-logging-py, Version: 0.2 found.
2021-03-25 16:27:37.776 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataset-runtime, Version: 1.24.0 found.
2021-03-25 16:27:37.776 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: applicationinsights, Version: 0.11.9 found.
2021-03-25 16:27:37.776 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: gunicorn, Version: 19.9.0 found.
2021-03-25 16:27:37.776 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-model-management-sdk, Version: 1.0.1b6.post1 found.
2021-03-25 16:27:37.777 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: werkzeug, Version: 1.0.1 found.
2021-03-25 16:27:37.777 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: flask, Version: 1.0.3 found.
2021-03-25 16:27:37.788 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: scikit-learn, Version: 0.22.2.post1 found.
2021-03-25 16:27:37.788 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-train-automl-client, Version: 1.24.0 found.
2021-03-25 16:27:37.789 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataset-runtime, Version: 1.24.0 found.
2021-03-25 16:27:37.789 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: keras2onnx, Version: 1.6.0 found.
2021-03-25 16:27:37.789 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-automl-core, Version: 1.24.0 found.
2021-03-25 16:27:37.790 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: smart-open, Version: 1.9.0 found.
2021-03-25 16:27:37.790 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxconverter-common, Version: 1.6.0 found.
2021-03-25 16:27:37.790 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-interpret, Version: 1.24.0 found.
2021-03-25 16:27:37.790 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: statsmodels, Version: 0.10.2 found.
2021-03-25 16:27:37.790 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: jinja2, Version: 2.11.2 found.
2021-03-25 16:27:37.790 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: botocore, Version: 1.18.18 found.
2021-03-25 16:27:37.791 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azure-storage-queue, Version: 12.1.5 found.
2021-03-25 16:27:37.791 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: boto3, Version: 1.15.18 found.
2021-03-25 16:27:37.791 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: gensim, Version: 3.8.3 found.
2021-03-25 16:27:37.791 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-automl-runtime, Version: 1.24.0 found.
2021-03-25 16:27:37.792 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-defaults, Version: 1.24.0 found.
2021-03-25 16:27:37.792 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: skl2onnx, Version: 1.4.9 found.
2021-03-25 16:27:37.792 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: sklearn-pandas, Version: 1.7.0 found.
2021-03-25 16:27:37.792 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: numpy, Version: 1.18.5 found.
2021-03-25 16:27:37.792 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-telemetry, Version: 1.24.0 found.
2021-03-25 16:27:37.792 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: pandas, Version: 0.25.3 found.
2021-03-25 16:27:37.793 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxruntime, Version: 1.6.0 found.
2021-03-25 16:27:37.793 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.24.0 found.
2021-03-25 16:27:37.793 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxmltools, Version: 1.4.1 found.
2021-03-25 16:27:37.793 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnx, Version: 1.7.0 found.
2021-03-25 16:27:37.794 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: scipy, Version: 1.4.1 found.
2021-03-25 16:27:37.794 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: lightgbm, Version: 2.3.0 found.
2021-03-25 16:27:37.794 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.24.0 found.
2021-03-25 16:27:37.794 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: msrestazure, Version: 0.6.4 found.
2021-03-25 16:27:37.794 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: msrest, Version: 0.6.21 found.
2021-03-25 16:27:37.795 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: requests, Version: 2.25.1 found.
2021-03-25 16:27:37.799 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.24.0 found.
2021-03-25 16:27:37.799 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: interpret-community, Version: 0.16.0 found.
2021-03-25 16:27:37.800 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataprep-rslex, Version: 1.9.0 found.
2021-03-25 16:27:37.800 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataprep-native, Version: 30.0.0 found.
2021-03-25 16:27:37.800 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azure-identity, Version: 1.4.1 found.
2021-03-25 16:27:37.800 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: dotnetcore2, Version: 2.1.20 found.
2021-03-25 16:27:37.800 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: cloudpickle, Version: 1.6.0 found.
2021-03-25 16:27:37.811 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: scikit-learn, Version: 0.22.2.post1 found.
2021-03-25 16:27:37.811 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: py-cpuinfo, Version: 5.0.0 found.
2021-03-25 16:27:37.812 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataset-runtime, Version: 1.24.0 found.
2021-03-25 16:27:37.812 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: keras2onnx, Version: 1.6.0 found.
2021-03-25 16:27:37.812 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-automl-core, Version: 1.24.0 found.
2021-03-25 16:27:37.812 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: smart-open, Version: 1.9.0 found.
2021-03-25 16:27:37.812 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxconverter-common, Version: 1.6.0 found.
2021-03-25 16:27:37.812 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: dill, Version: 0.3.3 found.
2021-03-25 16:27:37.813 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: statsmodels, Version: 0.10.2 found.
2021-03-25 16:27:37.813 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: botocore, Version: 1.18.18 found.
2021-03-25 16:27:37.813 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: boto3, Version: 1.15.18 found.
2021-03-25 16:27:37.813 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: joblib, Version: 0.14.1 found.
2021-03-25 16:27:37.813 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: gensim, Version: 3.8.3 found.
2021-03-25 16:27:37.814 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: nimbusml, Version: 1.8.0 found.
2021-03-25 16:27:37.814 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: pmdarima, Version: 1.1.1 found.
2021-03-25 16:27:37.814 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: skl2onnx, Version: 1.4.9 found.
2021-03-25 16:27:37.814 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: sklearn-pandas, Version: 1.7.0 found.
2021-03-25 16:27:37.814 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: numpy, Version: 1.18.5 found.
2021-03-25 16:27:37.815 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: psutil, Version: 5.8.0 found.
2021-03-25 16:27:37.815 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: pandas, Version: 0.25.3 found.
2021-03-25 16:27:37.815 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxruntime, Version: 1.6.0 found.
2021-03-25 16:27:37.815 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxmltools, Version: 1.4.1 found.
2021-03-25 16:27:37.816 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnx, Version: 1.7.0 found.
2021-03-25 16:27:37.816 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: scipy, Version: 1.4.1 found.
2021-03-25 16:27:37.816 - INFO - 21485 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: lightgbm, Version: 2.3.0 found.
